"Лопасти 800 для эл. универсальной TSS DMD900, из 4 лопастей",1 929 руб
"Маска сварщика хамелеон ""Комета"" TN-01.11",1 995 руб
"Проволока сварочная ER70S-6 омеднённая 0,8 мм/15 кг",2 053 руб
Проволока сварочная ER70S-6 омеднённая 1.0 мм/15 кг,2 102 руб
Маска сварщика «хамелеон» 10 (1ист.пит),2 124 руб
Лопасти для ТСС DMD- 960 (к-т из 4 лопастей),2 128 руб
Гибкий вал ТСС ВВН-2/25 Ш (шестигранник),2 128 руб
Лопасти для TSS DMD1000 (к-т из 4 лопастей),2 128 руб
Гибкий вал ТСС ВВН 2/35 Ш (шестигранник),2 261 руб
"Электропривод ТСС ЭП-0,75/220 Ш с УЗО (шестигранник)",2 261 руб
Маска сварщика FUBAG Optima 9-13,2 268 руб
PT-31 плазмотрон в сборе,2 306 руб
"Электроконвектор ЭВУБ-1,5 универсальный",2 307 руб
"Гибкий вал ТСС ВВН 1,5/45 Ш (шестигранник)",2 328 руб
Сварочная маска МС-3,2 350 руб
"Маска сварщика хамелеон ""Молнии"" TN-08.71",2 394 руб
Коврик резиновый для виброплиты VP60 (535х370х6мм),2 478 руб
"Лопасти для ТСС DMD, DMR- 900 (к-т из 4 лопастей)",2 527 руб
Маска сварщика «хамелеон» 19,2 527 руб
"Диск для ТСС DMD, DMR 600",2 660 руб
Диск 600 для TSS DMD600,2 660 руб
Диск 800 для универсальной TSS DMD900,2 793 руб
Гибкий вал с вибронаконечником ТСС ВВН 3/35ДУ (дл.3000 мм; диам. 35мм),2 793 руб
Диск 800 для TSS DMD1000,2 793 руб
WP-17 (4м) горелка для аргонодуговой сварки,2 826 руб
Гибкий вал ТСС ВВН-2/45 Ш (шестигранник),2 860 руб
"Электропривод ТСС ЭП-0,75/220 Ш с УЗО (шестигранник, резьба правая)",2 926 руб
Коврик резиновый для виброплиты VP80 (580х480х6мм),2 950 руб
Гибкий вал с вибронаконечником ТСС ВВН 4/35ДУ (дл.4000 мм; диам. 35мм),3 259 руб
Коврик резиновый для виброплиты VP80 (580х480х6мм),3 325 руб
"Вольфрамовый электрод синий WL20-175/3,2 (10 шт)",3 379 руб
Рейка к TSS-MSD L-1.2,3 422 руб
"Диск для ТСС DMD,DMR 900,1000",3 458 руб
Гибкий вал с вибронаконечником ТСС ВВН 3/50ДУ (дл.3000 мм; диам. 50мм),3 525 руб
Коврик резиновый для виброплиты VP90 (580х510х6мм),3 591 руб
WP-26 (4м) горелка для аргонодуговой сварки вентильная,3 658 руб
Гибкий вал с вибронаконечником ТСС ВВН 4/50ДУ (дл.4000 мм; диам. 50мм),3 857 руб
Электропривод ТСС ЭП-1.3/220 Ш с УЗО (шестигранник),3 857 руб
Гибкий вал с вибронаконечником ТСС ВВН 6/35ДУ (дл.6000 мм; диам. 35мм),3 857 руб
Рейка к TSS- VT L-1.2,3 857 руб
Диск для TSS DMD760,3 924 руб
Диск для TSS DMD960,4 522 руб
Гибкий вал с вибронаконечником ТСС ВВН 8/35ДУ (дл.8000 мм; диам. 35мм),4 522 руб
